pos_index,position,sample_index,voltage
0,0.998565630054628,0,0.7712277
0,0.998565630054628,1,0.7711655
0,0.998565630054628,2,0.7710035
0,0.998565630054628,3,0.7709605
0,0.998565630054628,4,0.7708652
0,0.998565630054628,5,0.7710134
0,0.998565630054628,6,0.7712239
0,0.998565630054628,7,0.7709385
1,1.09744560075686,0,0.7709386
1,1.09744560075686,1,0.7708134
1,1.09744560075686,2,0.7709212
1,1.09744560075686,3,0.7713776
1,1.09744560075686,4,0.7712613
1,1.09744560075686,5,0.7712687
1,1.09744560075686,6,0.771414
1,1.09744560075686,7,0.7716465
2,1.19571520126957,0,0.7708938
2,1.19571520126957,1,0.7707533
2,1.19571520126957,2,0.7707838
2,1.19571520126957,3,0.7708923
2,1.19571520126957,4,0.7710419
2,1.19571520126957,5,0.7708459
2,1.19571520126957,6,0.7710539
2,1.19571520126957,7,0.7713515
3,1.2945951719718,0,0.7709861
3,1.2945951719718,1,0.7715937
3,1.2945951719718,2,0.7716242
3,1.2945951719718,3,0.7711167
3,1.2945951719718,4,0.7716213
3,1.2945951719718,5,0.7711991
3,1.2945951719718,6,0.7713653
3,1.2945951719718,7,0.771355
4,1.39469588305307,0,0.7712333
4,1.39469588305307,1,0.7712167
4,1.39469588305307,2,0.771318
4,1.39469588305307,3,0.771308
4,1.39469588305307,4,0.7714133
4,1.39469588305307,5,0.7711712
4,1.39469588305307,6,0.7711951
4,1.39469588305307,7,0.7715161
5,1.49418622394482,0,0.7707844
5,1.49418622394482,1,0.7712739
5,1.49418622394482,2,0.771342
5,1.49418622394482,3,0.771122
5,1.49418622394482,4,0.7711552
5,1.49418622394482,5,0.7713377
5,1.49418622394482,6,0.7706186
5,1.49418622394482,7,0.7708815
6,1.59428693502609,0,0.7710205
6,1.59428693502609,1,0.7706293
6,1.59428693502609,2,0.7713232
6,1.59428693502609,3,0.7713265
6,1.59428693502609,4,0.7709934
6,1.59428693502609,5,0.7708629
6,1.59428693502609,6,0.7709647
6,1.59428693502609,7,0.771153
7,1.69316690572832,0,0.7710742
7,1.69316690572832,1,0.7710602
7,1.69316690572832,2,0.7710351
7,1.69316690572832,3,0.7711641
7,1.69316690572832,4,0.7713205
7,1.69316690572832,5,0.7711176
7,1.69316690572832,6,0.7713015
7,1.69316690572832,7,0.7710468
8,1.79265724662008,0,0.7710228
8,1.79265724662008,1,0.7705719
