pos_index,position,sample_index,voltage
0,-0.00610370189519944,0,0.009369217
0,-0.00610370189519944,1,0.009328089
0,-0.00610370189519944,2,0.009611129
0,-0.00610370189519944,3,0.009542815
0,-0.00610370189519944,4,0.009614141
0,-0.00610370189519944,5,0.00977672
0,-0.00610370189519944,6,0.009892199
0,-0.00610370189519944,7,0.009661234
0,-0.00610370189519944,8,0.009665291
0,-0.00610370189519944,9,0.009777667
0,-0.00610370189519944,10,0.009909155
0,-0.00610370189519944,11,0.009651233
0,-0.00610370189519944,12,0.009640166
0,-0.00610370189519944,13,0.009694374
0,-0.00610370189519944,14,0.0103648
0,-0.00610370189519944,15,0.009974454
1,0.087282937101352,0,0.01008778
1,0.087282937101352,1,0.01021226
1,0.087282937101352,2,0.01039884
1,0.087282937101352,3,0.01045308
1,0.087282937101352,4,0.01039085
1,0.087282937101352,5,0.01030756
1,0.087282937101352,6,0.01028845
1,0.087282937101352,7,0.01059866
1,0.087282937101352,8,0.01062683
1,0.087282937101352,9,0.01037378
1,0.087282937101352,10,0.01017813
1,0.087282937101352,11,0.01014401
1,0.087282937101352,12,0.01041197
1,0.087282937101352,13,0.009901197
1,0.087282937101352,14,0.01018521
1,0.087282937101352,15,0.01024246
2,0.180669576097903,0,0.01031456
2,0.180669576097903,1,0.010132
2,0.180669576097903,2,0.009917127
2,0.180669576097903,3,0.0100998
2,0.180669576097903,4,0.0100817
2,0.180669576097903,5,0.009838965
2,0.180669576097903,6,0.009880015
2,0.180669576097903,7,0.01005469
2,0.180669576097903,8,0.01011285
2,0.180669576097903,9,0.01008171
2,0.180669576097903,10,0.01004159
2,0.180669576097903,11,0.009938266
2,0.180669576097903,12,0.01015001
2,0.180669576097903,13,0.01010387
2,0.180669576097903,14,0.0100377
2,0.180669576097903,15,0.0101973
3,0.274666585283975,0,0.01029557
3,0.274666585283975,1,0.01000547
3,0.274666585283975,2,0.009736547
3,0.274666585283975,3,0.009428416
3,0.274666585283975,4,0.009385261
3,0.274666585283975,5,0.01008581
3,0.274666585283975,6,0.009780671
3,0.274666585283975,7,0.009620148
3,0.274666585283975,8,0.009811811
3,0.274666585283975,9,0.009992419
3,0.274666585283975,10,0.009885019
3,0.274666585283975,11,0.009524846
3,0.274666585283975,12,0.00978578
3,0.274666585283975,13,0.009698354
3,0.274666585283975,14,0.01005066
3,0.274666585283975,15,0.009770642
4,0.368053224280526,0,0.009846867
4,0.368053224280526,1,0.009597058
4,0.368053224280526,2,0.009808758
4,0.368053224280526,3,0.01020724
4,0.368053224280526,4,0.01025838
4,0.368053224280526,5,0.009861037
4,0.368053224280526,6,0.00990919
4,0.368053224280526,7,0.01023635
4,0.368053224280526,8,0.009504665
4,0.368053224280526,9,0.009840888
4,0.368053224280526,10,0.009859977
4,0.368053224280526,11,0.009534793
4,0.368053224280526,12,0.00979675
4,0.368053224280526,13,0.009775681
4,0.368053224280526,14,0.009722468
4,0.368053224280526,15,0.009627111
5,0.462050233466598,0,0.009591002
5,0.462050233466598,1,0.009815749
5,0.462050233466598,2,0.00978672
5,0.462050233466598,3,0.00974758
5,0.462050233466598,4,0.009861942
5,0.462050233466598,5,0.00957504
5,0.462050233466598,6,0.009863038
5,0.462050233466598,7,0.01017511
5,0.462050233466598,8,0.009742484
5,0.462050233466598,9,0.009781667
5,0.462050233466598,10,0.009661269
5,0.462050233466598,11,0.009922273
5,0.462050233466598,12,0.009897175
5,0.462050233466598,13,0.009916201
5,0.462050233466598,14,0.01011594
5,0.462050233466598,15,0.009647142
6,0.552995391705069,0,0.009830894
6,0.552995391705069,1,0.01034776
6,0.552995391705069,2,0.01009879
6,0.552995391705069,3,0.01003957
6,0.552995391705069,4,0.009680317
6,0.552995391705069,5,0.01013097
6,0.552995391705069,6,0.009828873
6,0.552995391705069,7,0.009820851
6,0.552995391705069,8,0.009714432
6,0.552995391705069,9,0.009535851
6,0.552995391705069,10,0.009584974
6,0.552995391705069,11,0.009929242
6,0.552995391705069,12,0.009875003
6,0.552995391705069,13,0.009850945
6,0.552995391705069,14,0.009981437
6,0.552995391705069,15,0.009822802
7,0.643330179754021,0,0.009980425
7,0.643330179754021,1,0.009883061
7,0.643330179754021,2,0.009948303
7,0.643330179754021,3,0.00989919
7,0.643330179754021,4,0.009425392
7,0.643330179754021,5,0.01006073
7,0.643330179754021,6,0.01016513
7,0.643330179754021,7,0.00991423
7,0.643330179754021,8,0.009965321
7,0.643330179754021,9,0.009719562
7,0.643330179754021,10,0.009846916
7,0.643330179754021,11,0.009573948
7,0.643330179754021,12,0.009619131
7,0.643330179754021,13,0.009971415
7,0.643330179754021,14,0.009902108
7,0.643330179754021,15,0.01029966
8,0.736106448561052,0,0.01032452
8,0.736106448561052,1,0.01074612
8,0.736106448561052,2,0.01045203
8,0.736106448561052,3,0.01006265
8,0.736106448561052,4,0.01026843
8,0.736106448561052,5,0.0105414
8,0.736106448561052,6,0.01006868
8,0.736106448561052,7,0.0100616
8,0.736106448561052,8,0.01033064
8,0.736106448561052,9,0.01028761
8,0.736106448561052,10,0.01034993
8,0.736106448561052,11,0.01033672
8,0.736106448561052,12,0.009996419
8,0.736106448561052,13,0.00988805
8,0.736106448561052,14,0.01023331
8,0.736106448561052,15,0.009843962
9,0.828882717368084,0,0.01006565
9,0.828882717368084,1,0.01021231
9,0.828882717368084,2,0.009956246
9,0.828882717368084,3,0.009986476
9,0.828882717368084,4,0.009939199
9,0.828882717368084,5,0.0102795
9,0.828882717368084,6,0.01032062
9,0.828882717368084,7,0.01015805
9,0.828882717368084,8,0.009844867
9,0.828882717368084,9,0.0100847
9,0.828882717368084,10,0.009959328
9,0.828882717368084,11,0.009842888
9,0.828882717368084,12,0.009754508
9,0.828882717368084,13,0.01004162
9,0.828882717368084,14,0.00977465
9,0.828882717368084,15,0.01019416
10,0.921658986175115,0,0.009928081
10,0.921658986175115,1,0.01016499
10,0.921658986175115,2,0.01018624
10,0.921658986175115,3,0.0102083
10,0.921658986175115,4,0.01008082
10,0.921658986175115,5,0.01054146
10,0.921658986175115,6,0.01006364
10,0.921658986175115,7,0.01019125
10,0.921658986175115,8,0.01015803
10,0.921658986175115,9,0.01015404
