Time,Temperature(°C)
0.008777800016105175,23.2678
0.11378930043429136,23.267
0.21886679995805025,23.2678
0.3087681997567415,23.2672
0.4137907000258565,23.2648
0.5188442002981901,23.2659
0.6086609000340104,23.2659
0.7139918003231287,23.2655
0.818859999999404,23.2695
0.9088912000879645,23.2695
1.0136008001863956,23.2663
1.1187260001897812,23.2676
1.2086212001740932,23.2676
1.3137560999020934,23.2688
1.4187673004344106,23.2689
1.5237715002149343,23.2688
1.6136469999328256,23.2688
1.7186620002612472,23.2682
1.823611800558865,23.2699
1.9138449998572469,23.2699
2.0188114000484347,23.2678
2.1237310003489256,23.2678
2.213708200491965,23.2693
2.318765999749303,23.2699
2.4236634001135826,23.2674
2.5138213001191616,23.2655
2.6188919004052877,23.2667
2.7238129004836082,23.2693
2.813795500434935,23.2693
2.918740199878812,23.2674
3.0238260999321938,23.2684
3.12883420009166,23.2678
3.2188117997720838,23.2678
3.3236916000023484,23.268
3.428885499946773,23.2701
3.518814000301063,23.2701
3.6236156998202205,23.2695
3.728924300521612,23.2684
3.8186657996848226,23.2684
3.9237828999757767,23.2678
4.028618800453842,23.268
4.118519400246441,23.2682
4.223666800186038,23.2689
4.32877659983933,23.267
4.41866120044142,23.2667
4.523518700152636,23.268
4.628674999810755,23.2691
4.7336400002241135,23.2701
4.823560600169003,23.268
4.928743899799883,23.2674
5.033535599708557,23.2668
5.123605600558221,23.2667
5.228472100570798,23.2684
5.333716300316155,23.2678
5.423604199662805,23.2674
5.5285203997045755,23.2674
5.633618500083685,23.2682
5.723438800312579,23.2684
5.828466000035405,23.2665
5.933614499866962,23.2663
6.0234288005158305,23.2674
6.1286767004057765,23.2691
6.233717800118029,23.2695
6.338587800040841,23.2688
6.4285577004775405,23.2684
6.533496700227261,23.267
6.6385866003111005,23.2661
6.728714800439775,23.2667
6.833606700412929,23.2672
6.9385862005874515,23.2682
7.028692499734461,23.2693
7.133397500030696,23.2676
7.238717599771917,23.2676
7.328680699691176,23.2682
7.433530000038445,23.2667
7.538525099866092,23.267
7.643615299835801,23.2695
7.733519000001252,23.2706
7.838666800409555,23.2684
7.943576900288463,23.2661
8.033614099957049,23.2667
8.138371700420976,23.268
8.243382000364363,23.2685
8.333421800285578,23.2693
8.438528100028634,23.2695
8.543612000532448,23.2691
8.633622599765658,23.2699
8.738517600111663,23.2685
8.84359520021826,23.2676
8.933332700282335,23.2688
9.03858910035342,23.2689
9.143389499746263,23.2682
9.24836799968034,23.2676
9.338507100008428,23.268
9.443485800176859,23.2678
9.548376600258052,23.2678
9.638499500229955,23.2685
9.743480400182307,23.268
9.848568100482225,23.2691
9.938470900058746,23.2699
10.043501100502908,23.2674
10.148612599819899,23.2665
10.238475100137293,23.267
10.343588800169528,23.2661
10.448321900330484,23.267
10.53838980011642,23.268
10.643433299846947,23.2684
10.748524900525808,23.2685
10.853502600453794,23.2668
10.943511100485921,23.2685
11.048463900573552,23.2688
11.153290799818933,23.2684
11.243499499745667,23.2701
11.348279000259936,23.2684
11.45348499994725,23.2674
11.54332370031625,23.2676
11.648404200561345,23.2668
