position,voltage_mean,voltage_std,n_samples
0.493789483321635,0.0048611645,0.00022042013062189902,16
0.587786492507706,0.0050979268125000005,0.00023033025577098498,16
0.681783501693777,0.004601481312500001,0.00020014833231747116,16
0.775170140690329,0.004558887124999999,0.00025496687969638195,16
0.86672566911832,0.0054810065625,0.0001802785345870968,16
0.959501937925352,0.0050852334374999995,0.00026169792301668356,16
1.05227820673238,0.0049840354375,0.0001870670006244316,16
1.14566484572893,0.00473346675,0.00019983857866334888,16
1.24027222510453,0.0047182149375,0.00019272078870560022,16
1.33243812372204,0.0047605376875,0.00022655473389137073,16
1.42704550309763,0.0046506493125,0.00021839392644105267,16
1.5210425122837,0.0063747915625,0.00045897133089278693,16
1.61503952146977,0.021969329375000003,0.000597827605276688,16
1.71025727103488,0.037685775000000005,0.000530049204378707,16
1.80181279946287,0.052713031875,0.0007333132783403256,16
1.89397869808039,0.068587518125,0.0007401554752231008,16
1.9861445966979,0.083341920625,0.0005585231838906573,16
2.07953123569445,0.098271224375,0.00035497949653763057,16
2.17230750450148,0.11318744375,0.0006518098878974887,16
2.26569414349803,0.12843654375000002,0.00040795563326290386,16
2.35847041230506,0.14327589375000002,0.0006303162524367739,16
2.45185705130161,0.1581933375,0.0005255745307220923,16
2.54402294991913,0.17366165625000002,0.0005129437809945027,16
2.63618884853664,0.1881144875,0.0007444069207051675,16
2.72957548753319,0.2030056375,0.0009000349881219868,16
2.82357249671926,0.21732651875,0.0006272859039333178,16
2.91756950590533,0.23085687500000002,0.0006706810973741517,16
3.0115665150914,0.2452858,0.0005773898585444682,16
3.10556352427747,0.25909150000000003,0.0005341010110456636,16
3.19895016327403,0.2735934,0.0008487002894131716,16
3.29233680227058,0.28604874375,0.0008429301468454798,16
3.38328196050905,0.29874608125,0.000587298033602568,16
3.47605822931608,0.31065913749999996,0.00048713103713861604,16
3.56944486831263,0.32231027500000003,0.00041347194357659256,16
3.66405224768822,0.33317581875,0.0006770858570177312,16
3.75865962706381,0.34286629375,0.0004920831592179711,16
3.85326700643941,0.35213706875,0.0005566331643447401,16
3.94726401562548,0.362059375,0.0005192125124888616,16
4.03820917386395,0.372337225,0.0003387093711797759,16
4.13281655323954,0.38244724375,0.0006009188391213432,16
4.22681356242561,0.39299320625,0.00034265347012097074,16
4.32081057161168,0.40139111250000004,0.0004151733310844394,16
4.41480758079775,0.4077902125,0.00043827571926100965,16
4.5081942197943,0.41383630625,0.0004806838338096488,16
4.60158085879086,0.4186395375,0.0003895433494410507,16
4.69557786797693,0.422825625,0.00022361519542508362,16
4.78835413678396,0.42617766875,0.0003109987856060476,16
4.88174077578051,0.4285887125,0.0003288400482662485,16
4.97451704458754,0.43078371875,0.0003637645241408762,16
5.06790368358409,0.43249395625,0.0004217841820302588,16
5.16129032258064,0.43408853125,0.00024385705269366323,16
