time,voltage
0.05502390023320913,-4.030437
0.11005140002816916,-4.030637
0.16500020027160645,-4.029247
0.22008380014449358,-4.029107
0.2750317007303238,-4.029031
0.33005040045827627,-4.029776
0.3850261000916362,-4.029915
0.43983370065689087,-4.029884
0.4950243001803756,-4.031526
0.5502090007066727,-4.031663
0.6054036002606153,-4.032198
0.660554900765419,-4.031794
0.715505400672555,-4.031295
0.7708121007308364,-4.031424
0.8259159000590444,-4.030288
0.8811194999143481,-4.031372
0.936183400452137,-4.030701
0.9914089003577828,-4.031974
1.0465648006647825,-4.031873
1.10121860075742,-4.031335
1.1561699006706476,-4.031153
1.2111181002110243,-4.031157
1.2660433007404208,-4.031797
1.3214305005967617,-4.031564
1.3765008002519608,-4.031366
1.4316859003156424,-4.030519
1.487125100567937,-4.030592
1.5425363006070256,-4.030766
1.597634700126946,-4.030707
1.6531173000112176,-4.031147
1.7082671001553535,-4.030933
1.7635782007128,-4.031488
1.8186635002493858,-4.031296
1.8739047003909945,-4.030567
1.9293496003374457,-4.032124
1.9844301007688046,-4.031457
2.0398992002010345,-4.031901
2.094908700324595,-4.032214
2.150108899921179,-4.031464
2.204815700650215,-4.033147
2.259950300678611,-4.033199
2.315233400091529,-4.031527
2.370820000767708,-4.029262
2.425909200683236,-4.029672
2.4813597006723285,-4.030162
2.53659460041672,-4.031061
2.591832000762224,-4.03076
2.6471068002283573,-4.030658
2.7023835005238652,-4.031133
2.757762100547552,-4.030931
2.813014700077474,-4.031678
2.868322500027716,-4.031907
2.9234222006052732,-4.031024
2.9786873999983072,-4.030499
3.033686799928546,-4.029624
3.088763700798154,-4.032152
3.1439768001437187,-4.031644
3.19929079990834,-4.032129
3.2541812006384134,-4.03082
3.30923440027982,-4.032052
3.364650900475681,-4.032029
3.4196731001138687,-4.030361
3.4748453004285693,-4.030513
3.530278299935162,-4.032152
3.5854373006150126,-4.030869
3.6408601999282837,-4.030142
3.6959345005452633,-4.030632
3.7514637000858784,-4.030013
3.806446200236678,-4.029881
3.861425300128758,-4.030378
3.916408500634134,-4.029945
3.9718335000798106,-4.030348
4.027075500227511,-4.030976
4.081942300312221,-4.030902
4.137190500274301,-4.032777
4.192183600738645,-4.032159
4.24724439997226,-4.031411
4.3023014003410935,-4.030346
4.3573537999764085,-4.031289
4.412710700184107,-4.03032
4.468183300457895,-4.031758
4.523436699993908,-4.03046
4.57860520016402,-4.030231
4.633739400655031,-4.02986
4.6886376002803445,-4.030161
4.743176900781691,-4.02819
4.798342199996114,-4.030317
4.85346670076251,-4.03012
4.908520400524139,-4.028582
4.963581900112331,-4.029336
5.019079000689089,-4.030855
5.074173300527036,-4.029621
5.129320700652897,-4.028661
5.184401300735772,-4.028284
5.2396104000508785,-4.027167
5.294549700804055,-4.029528
5.350056800059974,-4.03051
5.405213000252843,-4.029947
5.460682200267911,-4.02969
5.51612040027976,-4.030035
5.570995599962771,-4.03026
5.626349300146103,-4.030503
5.681600499898195,-4.031768
5.7366285007447,-4.029576
5.7917968006804585,-4.030012
5.846678500063717,-4.029994
5.901752000674605,-4.029798
5.956506400369108,-4.028882
6.011605800129473,-4.030047
6.066867700777948,-4.0303
6.121882400475442,-4.028638
6.1764878006652,-4.030552
6.231455100700259,-4.029034
6.286466600373387,-4.028774
6.341785100288689,-4.029633
6.397002600133419,-4.028605
6.45255930069834,-4.028195
6.507693100720644,-4.030653
6.562909600324929,-4.028286
6.618383999913931,-4.028121
6.6735220002010465,-4.029807
6.7283284002915025,-4.029459
6.783346200361848,-4.030041
6.838341600261629,-4.030189
6.893293600529432,-4.031292
6.948402100242674,-4.030052
7.003587299957871,-4.029336
7.058768200688064,-4.031518
7.113907900638878,-4.031839
7.169240400195122,-4.030797
7.2245922004804015,-4.030578
7.2795729003846645,-4.03088
7.334874200634658,-4.030199
7.3899245001375675,-4.031976
7.445465600118041,-4.02985
7.500960600562394,-4.031682
7.556340199895203,-4.030191
7.611718500033021,-4.03073
7.667018100619316,-4.029164
7.7222053008154035,-4.029562
7.777453700080514,-4.031077
7.832250100560486,-4.030314
7.887389900162816,-4.030585
7.942764600738883,-4.030167
7.997880400158465,-4.029385
8.052939400076866,-4.030708
8.108221700415015,-4.031295
8.163405500352383,-4.03048
8.218691700138152,-4.031864
8.273897600360215,-4.030158
