Time,Temperature(°C)
0.013311599381268024,23.4513
0.11819109972566366,23.45
0.20826470013707876,23.4507
0.3133728997781873,23.452
0.41844219993799925,23.4522
0.5084478994831443,23.4513
0.6131354002282023,23.4509
0.7183160996064544,23.4515
0.8084061993286014,23.4505
0.9132834998890758,23.4496
1.0182747999206185,23.4509
1.1081288000568748,23.4511
1.213141699321568,23.4505
1.318482299335301,23.4513
1.4232508996501565,23.4515
1.5133493999019265,23.4522
1.618388899601996,23.4522
1.7233766000717878,23.4517
1.8133474998176098,23.4522
1.9182429993525147,23.4528
2.0232301000505686,23.4519
2.1133616995066404,23.4515
2.218237199820578,23.4519
2.323157999664545,23.4492
2.4132880000397563,23.4509
2.5183568000793457,23.4524
2.623209999874234,23.4509
2.7282851999625564,23.4496
2.8183217998594046,23.4494
2.923310900107026,23.45
3.0281673995777965,23.45
3.118218899704516,23.4496
3.2233571000397205,23.4507
3.3282474000006914,23.4519
3.418221299536526,23.4496
3.523208299651742,23.4487
3.6281893998384476,23.4513
3.7180603994056582,23.4517
3.8230551993474364,23.4502
3.928126299753785,23.4522
4.018147399649024,23.4513
4.123155799694359,23.4483
4.228063799440861,23.4498
4.318064100109041,23.452
4.423152899369597,23.4528
4.528204999864101,23.4537
4.633114599622786,23.4515
4.723160699941218,23.4496
4.828130799345672,23.452
4.933181299827993,23.4522
5.0232382994145155,23.4511
5.128151400014758,23.4517
5.233223599381745,23.4515
5.323103299364448,23.4515
5.428135899826884,23.4507
5.533038699999452,23.4487
5.623086499981582,23.4505
5.728231399320066,23.4507
5.8331864001229405,23.449
5.93819270003587,23.45
6.028208299539983,23.4496
6.133010500110686,23.4505
6.238208900205791,23.4492
6.328092499636114,23.4484
6.4330036994069815,23.45
6.538092600181699,23.4502
6.628198899328709,23.4513
6.732955199666321,23.4515
6.8381054000929,23.4496
6.92820050008595,23.4511
7.033083699643612,23.4509
7.138173599727452,23.4503
7.2280741995200515,23.4505
7.333017899654806,23.4481
7.4380442993715405,23.4477
7.543005899526179,23.4507
7.6331396996974945,23.4511
7.7378870993852615,23.4505
7.8430034993216395,23.4517
7.933027300052345,23.4517
8.038037499412894,23.4505
8.142992299981415,23.4515
8.233404600061476,23.4513
8.338109099306166,23.4492
8.442965500056744,23.4511
8.533018600195646,23.4505
8.638168999925256,23.4505
8.74300630018115,23.4503
8.848025299608707,23.4496
8.938173700124025,23.4517
9.04301849938929,23.4522
9.148122999817133,23.4511
9.237968999892473,23.4517
9.34318959992379,23.4517
9.448073400184512,23.4511
9.538081999868155,23.4505
9.643101999536157,23.4513
9.748119699768722,23.4528
9.838049599900842,23.4517
9.943078399635851,23.4505
10.048048599623144,23.4494
10.138049399480224,23.4492
10.243078699335456,23.45
10.348044100217521,23.4496
10.452992499805987,23.45
10.542842299677432,23.4515
10.647996800020337,23.4522
10.753059499897063,23.4511
10.842966900207102,23.45
10.948059800080955,23.4505
11.053016199730337,23.4503
11.142976299859583,23.45
11.248029999434948,23.4507
11.352981399744749,23.4515
11.44292869977653,23.4505
11.54795360006392,23.4487
11.652975900098681,23.4503
11.757970799691975,23.452
11.84796079993248,23.4513
11.952996999956667,23.4509
12.058003299869597,23.4502
12.147813299670815,23.4505
12.253002899698913,23.4502
12.357966699637473,23.4496
12.44797739945352,23.4502
12.552929500117898,23.4502
12.657996599562466,23.4509
12.747975399717689,23.4505
12.852893699891865,23.45
12.957912599667907,23.4502
13.062972899526358,23.4505
13.152812600135803,23.4509
13.257943499833345,23.4503
13.362930099479854,23.449
13.45271770004183,23.4511
13.557856800034642,23.4511
13.662908099591732,23.4513
13.752915499731898,23.453
13.857969099655747,23.4513
13.962941699661314,23.4513
14.05276979971677,23.4513
14.157879400067031,23.4517
14.262909499928355,23.4519
14.352813099510968,23.4507
14.457711099646986,23.4503
14.562854699790478,23.449
14.667882500216365,23.4502
14.757874200120568,23.4519
14.862865699455142,23.452
14.967844299972057,23.4498
15.057940899394453,23.4492
15.162916199304163,23.4509
15.26790149975568,23.4524
15.35788009967655,23.4509
15.462875599972904,23.4492
15.567831099964678,23.4505
15.657904299907386,23.4503
15.76282459963113,23.4513
15.867866199463606,23.4507
15.957839000038803,23.4502
16.06286729965359,23.4509
16.167737199924886,23.4498
16.25777370017022,23.4505
16.362766100093722,23.4509
16.467866899445653,23.4505
16.572952499613166,23.4522
