pos_index,position,sample_index,voltage
0,2.99386577959532,0,0.003633541
0,2.99386577959532,1,0.002014726
0,2.99386577959532,2,0.004698349
0,2.99386577959532,3,0.004269834
0,2.99386577959532,4,0.003967763
0,2.99386577959532,5,0.00365261
0,2.99386577959532,6,0.004291888
0,2.99386577959532,7,0.003159839
0,2.99386577959532,8,0.003107634
0,2.99386577959532,9,0.003859337
0,2.99386577959532,10,0.004700366
0,2.99386577959532,11,0.005017506
0,2.99386577959532,12,0.004646201
0,2.99386577959532,13,0.00427684
0,2.99386577959532,14,0.004425415
0,2.99386577959532,15,0.004883061
1,3.03781243324076,0,0.00442841
1,3.03781243324076,1,0.004837867
1,3.03781243324076,2,0.004685362
1,3.03781243324076,3,0.005342729
1,3.03781243324076,4,0.005910768
1,3.03781243324076,5,0.0051952
1,3.03781243324076,6,0.003900505
1,3.03781243324076,7,0.003980802
1,3.03781243324076,8,0.006387504
1,3.03781243324076,9,0.005370803
1,3.03781243324076,10,0.004235698
1,3.03781243324076,11,0.004851942
1,3.03781243324076,12,0.0049603
1,3.03781243324076,13,0.006070291
1,3.03781243324076,14,0.006261975
1,3.03781243324076,15,0.005085766
2,3.0817590868862,0,0.004228667
2,3.0817590868862,1,0.004358142
2,3.0817590868862,2,0.004159442
2,3.0817590868862,3,0.004843906
2,3.0817590868862,4,0.005012521
2,3.0817590868862,5,0.003025375
2,3.0817590868862,6,0.004091206
2,3.0817590868862,7,0.00572609
2,3.0817590868862,8,0.004297926
2,3.0817590868862,9,0.004186501
2,3.0817590868862,10,0.003527133
2,3.0817590868862,11,0.004281951
2,3.0817590868862,12,0.004512746
2,3.0817590868862,13,0.004391264
2,3.0817590868862,14,0.004343091
2,3.0817590868862,15,0.003966771
3,3.12631611072115,0,0.00557045
3,3.12631611072115,1,0.003420749
3,3.12631611072115,2,0.003410769
3,3.12631611072115,3,0.005089755
3,3.12631611072115,4,0.00425078
3,3.12631611072115,5,0.003460908
3,3.12631611072115,6,0.004373221
3,3.12631611072115,7,0.004498647
3,3.12631611072115,8,0.005305584
3,3.12631611072115,9,0.003764019
3,3.12631611072115,10,0.003185922
3,3.12631611072115,11,0.004993448
3,3.12631611072115,12,0.003806176
3,3.12631611072115,13,0.004416405
3,3.12631611072115,14,0.00298924
3,3.12631611072115,15,0.004878015
4,3.16904202398755,0,0.004143354
4,3.16904202398755,1,0.003878411
4,3.16904202398755,2,0.003941666
4,3.16904202398755,3,0.003712837
4,3.16904202398755,4,0.00418154
4,3.16904202398755,5,0.002656007
4,3.16904202398755,6,0.004081175
4,3.16904202398755,7,0.003903496
4,3.16904202398755,8,0.004216615
4,3.16904202398755,9,0.003309363
4,3.16904202398755,10,0.002982217
4,3.16904202398755,11,0.003771028
4,3.16904202398755,12,0.004793736
4,3.16904202398755,13,0.003023335
4,3.16904202398755,14,0.003358586
4,3.16904202398755,15,0.005263401
5,3.21237830744346,0,0.003884497
5,3.21237830744346,1,0.002961135
5,3.21237830744346,2,0.00346997
5,3.21237830744346,3,0.004355156
5,3.21237830744346,4,0.003316393
5,3.21237830744346,5,0.004200629
5,3.21237830744346,6,0.004238676
5,3.21237830744346,7,0.004674329
5,3.21237830744346,8,0.004911141
5,3.21237830744346,9,0.00333442
5,3.21237830744346,10,0.00434814
5,3.21237830744346,11,0.004594
5,3.21237830744346,12,0.005076748
5,3.21237830744346,13,0.004862999
5,3.21237830744346,14,0.00358735
5,3.21237830744346,15,0.004154493
6,3.2563249610889,0,0.003209997
6,3.2563249610889,1,0.004358192
6,3.2563249610889,2,0.004601999
6,3.2563249610889,3,0.004374181
6,3.2563249610889,4,0.003969734
6,3.2563249610889,5,0.003469935
6,3.2563249610889,6,0.005390841
6,3.2563249610889,7,0.005249373
6,3.2563249610889,8,0.004096241
6,3.2563249610889,9,0.003823229
6,3.2563249610889,10,0.004042028
6,3.2563249610889,11,0.004683332
6,3.2563249610889,12,0.004270895
6,3.2563249610889,13,0.004097163
6,3.2563249610889,14,0.003982775
6,3.2563249610889,15,0.004651239
7,3.29966124454482,0,0.0050246
7,3.29966124454482,1,0.004281905
7,3.29966124454482,2,0.005123874
7,3.29966124454482,3,0.006052278
7,3.29966124454482,4,0.004146439
7,3.29966124454482,5,0.004085175
7,3.29966124454482,6,0.005295517
7,3.29966124454482,7,0.005114816
7,3.29966124454482,8,0.004899094
7,3.29966124454482,9,0.003842339
7,3.29966124454482,10,0.004684332
7,3.29966124454482,11,0.005658819
7,3.29966124454482,12,0.005304557
7,3.29966124454482,13,0.004863978
7,3.29966124454482,14,0.005389825
7,3.29966124454482,15,0.004419391
8,3.34360789819025,0,0.003965748
8,3.34360789819025,1,0.005224275
8,3.34360789819025,2,0.005010531
8,3.34360789819025,3,0.004663313
8,3.34360789819025,4,0.003783071
8,3.34360789819025,5,0.004179508
8,3.34360789819025,6,0.004286886
8,3.34360789819025,7,0.005201181
8,3.34360789819025,8,0.004330041
8,3.34360789819025,9,0.004612042
8,3.34360789819025,10,0.005118911
8,3.34360789819025,11,0.004999463
8,3.34360789819025,12,0.00556448
8,3.34360789819025,13,0.004349094
8,3.34360789819025,14,0.005065705
8,3.34360789819025,15,0.005375837
9,3.38694418164617,0,0.004628139
9,3.38694418164617,1,0.004917152
9,3.38694418164617,2,0.004191546
9,3.38694418164617,3,0.005549482
9,3.38694418164617,4,0.004385196
9,3.38694418164617,5,0.005296486
9,3.38694418164617,6,0.00441638
9,3.38694418164617,7,0.004824858
9,3.38694418164617,8,0.004369157
9,3.38694418164617,9,0.003834263
9,3.38694418164617,10,0.004208656
9,3.38694418164617,11,0.004498634
9,3.38694418164617,12,0.004273851
9,3.38694418164617,13,0.004654237
9,3.38694418164617,14,0.004068172
9,3.38694418164617,15,0.005660879
10,3.42844935453352,0,0.003778066
10,3.42844935453352,1,0.003914561
10,3.42844935453352,2,0.0044445
10,3.42844935453352,3,0.003481007
10,3.42844935453352,4,0.004356122
10,3.42844935453352,5,0.004653167
10,3.42844935453352,6,0.004265859
10,3.42844935453352,7,0.004766645
10,3.42844935453352,8,0.003521162
10,3.42844935453352,9,0.003806165
10,3.42844935453352,10,0.005052636
10,3.42844935453352,11,0.004705361
10,3.42844935453352,12,0.005388783
10,3.42844935453352,13,0.004751591
10,3.42844935453352,14,0.005164092
10,3.42844935453352,15,0.005550462
11,3.47178563798944,0,0.003660654
11,3.47178563798944,1,0.004443458
11,3.47178563798944,2,0.004001875
11,3.47178563798944,3,0.005289518
11,3.47178563798944,4,0.003787086
11,3.47178563798944,5,0.003865406
11,3.47178563798944,6,0.004413344
11,3.47178563798944,7,0.004867017
11,3.47178563798944,8,0.003551266
11,3.47178563798944,9,0.003797133
11,3.47178563798944,10,0.003861377
11,3.47178563798944,11,0.004935239
11,3.47178563798944,12,0.005174121
11,3.47178563798944,13,0.0032853
11,3.47178563798944,14,0.004468561
11,3.47178563798944,15,0.005242359
12,3.51512192144536,0,0.00421764
12,3.51512192144536,1,0.00417349
12,3.51512192144536,2,0.003998876
12,3.51512192144536,3,0.004739555
12,3.51512192144536,4,0.004806769
12,3.51512192144536,5,0.004200575
12,3.51512192144536,6,0.004172474
12,3.51512192144536,7,0.004610035
12,3.51512192144536,8,0.004638149
12,3.51512192144536,9,0.004577972
12,3.51512192144536,10,0.00500947
12,3.51512192144536,11,0.003856351
12,3.51512192144536,12,0.004423414
12,3.51512192144536,13,0.003737927
12,3.51512192144536,14,0.003588381
12,3.51512192144536,15,0.004916177
13,3.55845820490127,0,0.004927199
13,3.55845820490127,1,0.004464528
13,3.55845820490127,2,0.004380253
13,3.55845820490127,3,0.004017944
13,3.55845820490127,4,0.00413241
13,3.55845820490127,5,0.003654622
13,3.55845820490127,6,0.004261793
13,3.55845820490127,7,0.004078173
13,3.55845820490127,8,0.004494649
13,3.55845820490127,9,0.004764603
13,3.55845820490127,10,0.003705836
13,3.55845820490127,11,0.004936196
13,3.55845820490127,12,0.00476559
13,3.55845820490127,13,0.004249764
13,3.55845820490127,14,0.004866
13,3.55845820490127,15,0.00357738
14,3.60240485854671,0,0.004362166
14,3.60240485854671,1,0.005017535
14,3.60240485854671,2,0.005102783
14,3.60240485854671,3,0.004923234
14,3.60240485854671,4,0.00522535
14,3.60240485854671,5,0.004925241
14,3.60240485854671,6,0.004788694
14,3.60240485854671,7,0.004909145
14,3.60240485854671,8,0.004718444
14,3.60240485854671,9,0.004797767
14,3.60240485854671,10,0.004938256
14,3.60240485854671,11,0.00437021
14,3.60240485854671,12,0.005825419
14,3.60240485854671,13,0.004544875
14,3.60240485854671,14,0.003723885
14,3.60240485854671,15,0.00458195
15,3.64452040162358,0,0.005847511
15,3.64452040162358,1,0.004648222
15,3.64452040162358,2,0.004810804
15,3.64452040162358,3,0.005200166
15,3.64452040162358,4,0.004601101
15,3.64452040162358,5,0.003768014
15,3.64452040162358,6,0.004661245
15,3.64452040162358,7,0.004441451
15,3.64452040162358,8,0.005160044
15,3.64452040162358,9,0.004929206
15,3.64452040162358,10,0.00425175
15,3.64452040162358,11,0.005507278
15,3.64452040162358,12,0.004728497
15,3.64452040162358,13,0.004094216
15,3.64452040162358,14,0.00404702
15,3.64452040162358,15,0.004857946
16,3.68907742545854,0,0.004492629
16,3.68907742545854,1,0.005538367
16,3.68907742545854,2,0.004839906
16,3.68907742545854,3,0.004958329
16,3.68907742545854,4,0.004304951
16,3.68907742545854,5,0.004586004
16,3.68907742545854,6,0.004044035
16,3.68907742545854,7,0.005645748
16,3.68907742545854,8,0.004668227
16,3.68907742545854,9,0.003811164
16,3.68907742545854,10,0.004376226
16,3.68907742545854,11,0.004823824
16,3.68907742545854,12,0.005788306
16,3.68907742545854,13,0.00454378
16,3.68907742545854,14,0.00378813
16,3.68907742545854,15,0.004905123
17,3.7336344492935,0,0.004060096
17,3.7336344492935,1,0.004277927
17,3.7336344492935,2,0.004300936
17,3.7336344492935,3,0.005784279
17,3.7336344492935,4,0.004494652
17,3.7336344492935,5,0.004143373
17,3.7336344492935,6,0.003840302
17,3.7336344492935,7,0.005213277
17,3.7336344492935,8,0.004639152
17,3.7336344492935,9,0.003573325
17,3.7336344492935,10,0.003470941
17,3.7336344492935,11,0.005668827
17,3.7336344492935,12,0.00542599
17,3.7336344492935,13,0.003158838
17,3.7336344492935,14,0.004054066
17,3.7336344492935,15,0.004698376
18,3.77819147312845,0,0.00531865
18,3.77819147312845,1,0.003975781
18,3.77819147312845,2,0.004367196
18,3.77819147312845,3,0.005073697
18,3.77819147312845,4,0.005281512
18,3.77819147312845,5,0.003250169
18,3.77819147312845,6,0.003778029
18,3.77819147312845,7,0.004517755
18,3.77819147312845,8,0.005345728
18,3.77819147312845,9,0.003815217
18,3.77819147312845,10,0.003496069
18,3.77819147312845,11,0.003837288
18,3.77819147312845,12,0.005012485
18,3.77819147312845,13,0.004808814
18,3.77819147312845,14,0.003498041
18,3.77819147312845,15,0.003254237
19,3.82274849696341,0,0.005685958
19,3.82274849696341,1,0.004733556
19,3.82274849696341,2,0.004121287
19,3.82274849696341,3,0.005133002
19,3.82274849696341,4,0.004541773
19,3.82274849696341,5,0.003845322
19,3.82274849696341,6,0.004595987
19,3.82274849696341,7,0.00404405
19,3.82274849696341,8,0.005761237
19,3.82274849696341,9,0.004645158
19,3.82274849696341,10,0.003773027
19,3.82274849696341,11,0.00560562
19,3.82274849696341,12,0.004700416
19,3.82274849696341,13,0.003721891
19,3.82274849696341,14,0.003518128
19,3.82274849696341,15,0.004024941
20,3.86669515060884,0,0.004654257
20,3.86669515060884,1,0.004903105
20,3.86669515060884,2,0.004836877
20,3.86669515060884,3,0.005174121
20,3.86669515060884,4,0.004284888
20,3.86669515060884,5,0.004542819
20,3.86669515060884,6,0.004074147
20,3.86669515060884,7,0.005609671
20,3.86669515060884,8,0.005069734
20,3.86669515060884,9,0.005053643
20,3.86669515060884,10,0.004754598
20,3.86669515060884,11,0.005343709
20,3.86669515060884,12,0.004997456
20,3.86669515060884,13,0.005073708
20,3.86669515060884,14,0.006366428
20,3.86669515060884,15,0.005335646
21,3.9112521744438,0,0.006141587
21,3.9112521744438,1,0.006712643
21,3.9112521744438,2,0.007183328
21,3.9112521744438,3,0.007442212
21,3.9112521744438,4,0.005896679
21,3.9112521744438,5,0.005531385
21,3.9112521744438,6,0.00738001
21,3.9112521744438,7,0.007616845
21,3.9112521744438,8,0.005218261
21,3.9112521744438,9,0.005344728
21,3.9112521744438,10,0.006902292
21,3.9112521744438,11,0.007388102
21,3.9112521744438,12,0.007647951
21,3.9112521744438,13,0.006364398
21,3.9112521744438,14,0.007198284
21,3.9112521744438,15,0.007951012
22,3.95519882808924,0,0.01326735
22,3.95519882808924,1,0.01448672
22,3.95519882808924,2,0.01446549
22,3.95519882808924,3,0.01419261
22,3.95519882808924,4,0.01384643
22,3.95519882808924,5,0.01358338
22,3.95519882808924,6,0.01516304
22,3.95519882808924,7,0.0146613
22,3.95519882808924,8,0.01434505
22,3.95519882808924,9,0.01435903
22,3.95519882808924,10,0.01487699
22,3.95519882808924,11,0.0144093
22,3.95519882808924,12,0.01320292
22,3.95519882808924,13,0.01360333
22,3.95519882808924,14,0.01331241
22,3.95519882808924,15,0.01410224
23,3.99975585192419,0,0.02111963
23,3.99975585192419,1,0.02091179
23,3.99975585192419,2,0.02254759
23,3.99975585192419,3,0.02265101
23,3.99975585192419,4,0.02187017
23,3.99975585192419,5,0.02147304
