position,voltage_mean,voltage_std,n_samples
0.0,0.0716356875,0.0005770621849018966,16
0.0994903408917508,0.069313170625,0.0006244083890318576,16
0.195928830835902,0.060782370625,0.0006253126859766716,16
0.292367320780053,0.05992198,0.0007543903393966551,16
0.390636921292764,0.053965624999999996,0.0009877705465909082,16
0.488906521805475,0.05084429,0.0008583608690405221,16
0.587176122318186,0.04571214,0.0009197642634596647,16
0.685445722830897,0.0409601125,0.0005772624083714009,16
0.784936063722648,0.03915942625,0.0007102904951749934,16
0.883816034424879,0.032583798125,0.0007464106080872877,16
0.98208563493759,0.022951860625,0.000575013496129316,16
1.0803552354503,0.021095198125,0.0005683788582475025,16
1.17862483596301,0.013260995000000001,0.0006524555979432624,16
1.27750480666524,0.01406858125,0.0007487859842678263,16
1.37699514755699,0.010504776875,0.00021225966844053138,16
1.47587511825922,0.0107869225,0.00016889511788015062,16
1.5759758293405,0.0102089210625,0.0001802809933282865,16
1.67058320871609,0.01002569575,0.00024065479727492962,16
1.76946317941832,0.0102987306875,0.00018715245273997845,16
1.86834315012055,0.010527198750000001,0.00021085864156689793,16
1.9678334910123,0.010326539875,0.0002852357228306692,16
2.06854457228309,0.010257406875,0.00021132564981914614,16
2.16742454298532,0.010572906875,0.00018133434205628101,16
2.26630451368755,0.009927080500000001,0.00016347374535724391,16
2.3657948545793,0.01083209625,0.0002522872668922024,16
2.46528519547105,0.010366316437499998,0.00022547076494330967,16
2.56538590655232,0.010200996375,0.00019175473381375573,16
2.6654866176336,0.010304054,0.00019863199519463108,16
2.76497695852535,0.010685370625,0.0002462655064272287,16
2.86385692922758,0.010479639374999999,0.00016339998586554211,16
2.96273689992981,0.0101608575625,0.00020727262070096504,16
3.06283761101108,0.010991106875,0.0004289955707480957,16
3.16293832209235,0.0135614625,0.0005814409214238796,16
3.25998718222602,0.013604466874999999,0.0008644082774195792,16
3.35947752311777,0.013351215,0.0006382120178866894,16
3.45774712363048,0.01340958625,0.0006590192561476771,16
3.55662709433271,0.011848508125,0.0008760906821301289,16
3.65672780541398,0.011871400625,0.0008811666792417079,16
3.75682851649525,0.012572108750000002,0.0006288077176478018,16
3.85570848719749,0.012130390625000001,0.0007119690607083,16
3.95580919827876,0.012765434374999999,0.00045461344963288223,16
4.05468916898099,0.10338441875,0.000531050133248678,16
4.15112765892514,0.11185881874999999,0.0004410620466821377,16
4.25183874019593,0.11366341249999999,0.0005667018317367176,16
4.35254982146672,0.11547060625,0.000683694201076723,16
4.45326090273751,0.11630191250000001,0.0006698833507363429,16
4.5509201330607,0.11834576875,0.0006502799971154254,16
4.64857936338389,0.1184887,0.000656392420736254,16
4.74440748313852,0.1191552375,0.0005647085198080061,16
4.84389782403027,0.12018504375,0.0006941970559293207,16
