time,voltage
0.055182299576699734,0.8450596
0.1103940000757575,0.8450873
0.16567189991474152,0.8452367
0.22097690030932426,0.8451905
0.27760120015591383,0.8451054
0.33254139963537455,0.84478
0.3870676998049021,0.8449988
0.4421290997415781,0.8451642
0.4970057997852564,0.8451148
0.5518356999382377,0.8451395
0.6069938996806741,0.8451706
0.6618317998945713,0.8450934
0.7167787998914719,0.8452545
0.7715258002281189,0.8452421
0.8260383997112513,0.8451395
0.8809363003820181,0.8453918
0.9354328000918031,0.8453282
0.9898795001208782,0.8453051
1.0447095995768905,0.8453972
1.099961799569428,0.8454891
1.155074399895966,0.8457103
1.2098738001659513,0.845315
1.2646885002031922,0.8455907
1.319790800102055,0.8452055
1.3749890998005867,0.845007
1.430142099969089,0.8448631
1.4847798999398947,0.8454118
1.5396333001554012,0.845268
1.5946308998391032,0.8450723
1.6494447998702526,0.8450247
1.704365000128746,0.8451451
1.7595338998362422,0.8450261
1.8145198002457619,0.8454657
1.8691307995468378,0.8453097
1.9236770998686552,0.8454111
1.9782841997221112,0.8454447
2.03317269962281,0.844999
2.0882912995293736,0.8451515
2.1432322999462485,0.8452069
2.1982335997745395,0.8451379
2.2533197002485394,0.8452517
2.3082763999700546,0.8454309
2.363398799672723,0.8457579
2.4180573001503944,0.8455208
2.472699400037527,0.8454819
2.5274841003119946,0.8452758
2.582574600353837,0.8454705
2.637490499764681,0.8453326
2.692773099988699,0.8454313
2.747852800413966,0.8454623
2.8027240997180343,0.8459315
2.8575291000306606,0.8457543
2.9123467998579144,0.8456675
2.9671189999207854,0.8455901
3.0222108997404575,0.8454755
3.07718320004642,0.8453459
3.131737899966538,0.8454362
3.186337999999523,0.845329
3.240977100096643,0.8455859
3.2956529995426536,0.8452828
3.3505915999412537,0.8456054
3.405227200128138,0.8454594
3.4598738001659513,0.8450735
3.5144923999905586,0.8452402
3.5690574003383517,0.8456027
3.6235595997422934,0.8458349
3.6780772004276514,0.8457316
3.733232400380075,0.845803
3.7880665995180607,0.8457158
3.8430658001452684,0.8455375
3.897620099596679,0.8454201
3.952581100165844,0.8455991
4.007238199934363,0.8460381
4.061956999823451,0.8461587
4.116548200137913,0.8460533
4.171434399671853,0.8461338
4.226182299666107,0.846192
4.281007699668407,0.8460305
4.3358488995581865,0.8461089
4.390509800054133,0.8459136
4.445188299752772,0.8460848
4.499972100369632,0.8460302
4.554487000219524,0.8460667
4.609495700336993,0.8464143
4.664664000272751,0.8465545
4.719605999998748,0.8459841
4.774263399653137,0.8460398
4.8287198999896646,0.846199
4.883367200382054,0.8460557
4.9381681997329,0.8462867
4.992678700014949,0.8460006
5.047418899834156,0.8461335
5.102281400002539,0.8460594
5.156928099691868,0.8462143
5.211802099831402,0.8462865
5.266294900327921,0.8462604
5.321020100265741,0.8460421
5.375883700326085,0.8463005
5.431038999930024,0.8464849
5.485789299942553,0.8463395
5.540698500350118,0.8461232
5.595694899559021,0.8463024
5.651038199663162,0.8460009
5.70616970025003,0.8456647
5.761126600205898,0.8456678
5.816528400406241,0.8456503
5.871759199537337,0.8458055
5.926621800288558,0.8456597
5.981342700310051,0.8455409
6.03598599974066,0.8453674
6.090491299517453,0.8456029
6.145186600275338,0.8451116
6.199790599755943,0.8454366
6.2545873997733,0.8454374
6.309032400138676,0.8453413
6.36425460036844,0.8451424
6.419177900068462,0.8453812
6.4736451003700495,0.845436
6.5285796001553535,0.8454827
6.583598800003529,0.8453717
6.638522299937904,0.8455917
6.693593899719417,0.8454375
6.748220999725163,0.8458568
6.802752699702978,0.8455114
6.857618100009859,0.8457767
6.912532499991357,0.8456349
6.9677480002865195,0.8453075
7.022799399681389,0.8457567
7.077716199681163,0.8452981
7.132585300132632,0.8454835
7.187442800030112,0.8454433
7.2420004000887275,0.8458084
7.296958100050688,0.8459306
7.352167599834502,0.8456423
7.407175900414586,0.8458039
7.46186409983784,0.8455632
7.516606899909675,0.8460073
7.571128600277007,0.8458868
7.625581000000238,0.8459066
7.680363399907947,0.845773
7.7354020001366735,0.8454015
7.790224299766123,0.8457228
7.844738200306892,0.8456116
7.899192299693823,0.8460029
7.953865500167012,0.8459271
