pos_index,position,sample_index,voltage
0,0.0,0,0.01320814
0,0.0,1,0.01350108
0,0.0,2,0.01354138
0,0.0,3,0.01369281
0,0.0,4,0.01297129
0,0.0,5,0.01299924
0,0.0,6,0.01331648
0,0.0,7,0.01316692
0,0.0,8,0.01319303
0,0.0,9,0.01334549
0,0.0,10,0.01343086
0,0.0,11,0.01318198
0,0.0,12,0.01358435
0,0.0,13,0.0134349
0,0.0,14,0.01359637
0,0.0,15,0.01307757
1,0.100100711081271,0,0.014013
1,0.100100711081271,1,0.01427798
1,0.100100711081271,2,0.01423171
1,0.100100711081271,3,0.0139667
1,0.100100711081271,4,0.01387346
1,0.100100711081271,5,0.01404397
1,0.100100711081271,6,0.01409724
1,0.100100711081271,7,0.0138974
1,0.100100711081271,8,0.01400179
1,0.100100711081271,9,0.01374898
1,0.100100711081271,10,0.01423977
1,0.100100711081271,11,0.01446964
1,0.100100711081271,12,0.01446768
1,0.100100711081271,13,0.01457112
1,0.100100711081271,14,0.01402803
1,0.100100711081271,15,0.01420363
2,0.195318460646382,0,0.01369596
2,0.195318460646382,1,0.01378215
2,0.195318460646382,2,0.014283
2,0.195318460646382,3,0.01389462
2,0.195318460646382,4,0.01407427
2,0.195318460646382,5,0.0145258
2,0.195318460646382,6,0.0143862
2,0.195318460646382,7,0.01445355
2,0.195318460646382,8,0.01417051
2,0.195318460646382,9,0.01391056
2,0.195318460646382,10,0.01456897
2,0.195318460646382,11,0.01450067
2,0.195318460646382,12,0.01455995
2,0.195318460646382,13,0.01431505
2,0.195318460646382,14,0.01436114
2,0.195318460646382,15,0.01434616
3,0.294808801538133,0,0.01367676
3,0.294808801538133,1,0.01364581
3,0.294808801538133,2,0.0133295
3,0.294808801538133,3,0.01360147
3,0.294808801538133,4,0.01401999
3,0.294808801538133,5,0.01404707
3,0.294808801538133,6,0.01343985
3,0.294808801538133,7,0.01379417
3,0.294808801538133,8,0.01382324
3,0.294808801538133,9,0.01433526
3,0.294808801538133,10,0.01378715
3,0.294808801538133,11,0.0138714
3,0.294808801538133,12,0.01386537
3,0.294808801538133,13,0.01406512
3,0.294808801538133,14,0.01448876
3,0.294808801538133,15,0.01422366
4,0.393078402050844,0,0.0141435
4,0.393078402050844,1,0.01427695
4,0.393078402050844,2,0.01454288
4,0.393078402050844,3,0.01479979
4,0.393078402050844,4,0.01442954
4,0.393078402050844,5,0.01437123
4,0.393078402050844,6,0.01464216
4,0.393078402050844,7,0.0145409
4,0.393078402050844,8,0.01418164
4,0.393078402050844,9,0.01425186
4,0.393078402050844,10,0.01463723
4,0.393078402050844,11,0.01419559
4,0.393078402050844,12,0.0141966
4,0.393078402050844,13,0.01433512
4,0.393078402050844,14,0.01410723
4,0.393078402050844,15,0.01402996
5,0.491958372753075,0,0.01392265
5,0.491958372753075,1,0.01418863
5,0.491958372753075,2,0.01387847
5,0.491958372753075,3,0.01445958
5,0.491958372753075,4,0.01437932
5,0.491958372753075,5,0.01395877
5,0.491958372753075,6,0.0139467
5,0.491958372753075,7,0.01392064
5,0.491958372753075,8,0.01448771
5,0.491958372753075,9,0.01427993
5,0.491958372753075,10,0.0142448
5,0.491958372753075,11,0.01410128
5,0.491958372753075,12,0.0141725
5,0.491958372753075,13,0.01378413
5,0.491958372753075,14,0.0138475
5,0.491958372753075,15,0.01424797
6,0.591448713644826,0,0.01444046
6,0.591448713644826,1,0.01473467
6,0.591448713644826,2,0.01506987
6,0.591448713644826,3,0.01466732
6,0.591448713644826,4,0.01464222
6,0.591448713644826,5,0.01472145
6,0.591448713644826,6,0.01421571
6,0.591448713644826,7,0.01426586
6,0.591448713644826,8,0.01434816
6,0.591448713644826,9,0.01476467
6,0.591448713644826,10,0.01444444
6,0.591448713644826,11,0.01449668
6,0.591448713644826,12,0.01492823
6,0.591448713644826,13,0.01465928
6,0.591448713644826,14,0.01483184
6,0.591448713644826,15,0.01455386
7,0.689718314157536,0,0.0146061
7,0.689718314157536,1,0.0144295
7,0.689718314157536,2,0.01427993
7,0.689718314157536,3,0.01429198
7,0.689718314157536,4,0.01412534
7,0.689718314157536,5,0.01370794
7,0.689718314157536,6,0.01446354
7,0.689718314157536,7,0.01391565
7,0.689718314157536,8,0.014035
7,0.689718314157536,9,0.014308
7,0.689718314157536,10,0.01397473
7,0.689718314157536,11,0.01425381
7,0.689718314157536,12,0.01437217
7,0.689718314157536,13,0.01402998
7,0.689718314157536,14,0.01469549
7,0.689718314157536,15,0.01429396
8,0.789208655049287,0,0.01441545
8,0.789208655049287,1,0.01434805
8,0.789208655049287,2,0.01438631
