pos_index,position,sample_index,voltage
0,1.99980162968841,0,0.8504108
0,1.99980162968841,1,0.8501837
0,1.99980162968841,2,0.8500125
0,1.99980162968841,3,0.8501618
0,1.99980162968841,4,0.8501645
0,1.99980162968841,5,0.8501902
0,1.99980162968841,6,0.8502244
0,1.99980162968841,7,0.8505591
0,1.99980162968841,8,0.850284
0,1.99980162968841,9,0.8504217
0,1.99980162968841,10,0.8501761
0,1.99980162968841,11,0.8500952
0,1.99980162968841,12,0.8500316
0,1.99980162968841,13,0.8500913
0,1.99980162968841,14,0.8503483
0,1.99980162968841,15,0.8501502
1,2.00437940610981,0,0.8506452
1,2.00437940610981,1,0.8501779
1,2.00437940610981,2,0.8504228
1,2.00437940610981,3,0.8504759
1,2.00437940610981,4,0.8506024
1,2.00437940610981,5,0.8502969
1,2.00437940610981,6,0.8504597
1,2.00437940610981,7,0.8505558
1,2.00437940610981,8,0.8503571
1,2.00437940610981,9,0.8504623
1,2.00437940610981,10,0.8502286
1,2.00437940610981,11,0.8502778
1,2.00437940610981,12,0.8503613
1,2.00437940610981,13,0.8500912
1,2.00437940610981,14,0.8502869
1,2.00437940610981,15,0.8505996
2,2.00872829371014,0,0.849646
2,2.00872829371014,1,0.8497735
2,2.00872829371014,2,0.8501186
2,2.00872829371014,3,0.8502737
2,2.00872829371014,4,0.8502977
2,2.00872829371014,5,0.8500143
2,2.00872829371014,6,0.8501058
2,2.00872829371014,7,0.850076
2,2.00872829371014,8,0.8501361
2,2.00872829371014,9,0.8500613
2,2.00872829371014,10,0.8501327
2,2.00872829371014,11,0.8500227
2,2.00872829371014,12,0.8502458
2,2.00872829371014,13,0.8502277
2,2.00872829371014,14,0.8503115
2,2.00872829371014,15,0.8500387
3,2.0135349589526,0,0.8502679
3,2.0135349589526,1,0.8502614
3,2.0135349589526,2,0.8502645
3,2.0135349589526,3,0.8503606
3,2.0135349589526,4,0.8503782
3,2.0135349589526,5,0.8504145
3,2.0135349589526,6,0.8503698
3,2.0135349589526,7,0.8501386
3,2.0135349589526,8,0.8503938
3,2.0135349589526,9,0.8502893
3,2.0135349589526,10,0.8504332
3,2.0135349589526,11,0.8501841
3,2.0135349589526,12,0.8502594
3,2.0135349589526,13,0.8501279
3,2.0135349589526,14,0.8503106
3,2.0135349589526,15,0.850125
4,2.018112735374,0,0.8501014
4,2.018112735374,1,0.8499668
4,2.018112735374,2,0.8497365
4,2.018112735374,3,0.8497181
4,2.018112735374,4,0.8496635
4,2.018112735374,5,0.8500332
4,2.018112735374,6,0.8497412
4,2.018112735374,7,0.8498239
4,2.018112735374,8,0.8501827
